DemGroup,Dem,Var,OR,95% CI
Education,≤High school degree,Looked for health care provider,0.5,"0.33, 0.76"
Education,Some college,Looked for health care provider,0.73,"0.49, 1.09"
Education,>College degree (ref),Looked for health care provider,1,"1.00, 1.00"
Born in United States,No,Looked for health care provider,1.29,"0.73, 2.26"
Born in United States,Yes (ref),Looked for health care provider,1,"1.00, 1.00"
Race/ethnicity,Hispanic,Looked for health care provider,0.73,"0.44, 1.16"
Race/ethnicity,Non-Hispanic black,Looked for health care provider,1.52,"0.72, 3.18"
Race/ethnicity,Other race,Looked for health care provider,2.02,"1.01, 4.04"
Race/ethnicity,Non-Hispanic white (ref),Looked for health care provider,1,"1.00, 1.00"
Home ownership,Rent or occupy without rent,Looked for health care provider,1.06,"0.67, 1.68"
Home ownership,Own (ref),Looked for health care provider,1,"1.00, 1.00"
Education,≤High school degree,Used email or Internet to communicate with doctor,0.46,"0.29, 0.72"
Education,Some college,Used email or Internet to communicate with doctor,0.71,"0.50, 1.02"
Education,>College degree (ref),Used email or Internet to communicate with doctor,1,"1.00, 1.00"
Born in United States,No,Used email or Internet to communicate with doctor,1.03,"0.49, 2.14"
Born in United States,Yes (ref),Used email or Internet to communicate with doctor,1,"1.00, 1.00"
Race/ethnicity,Hispanic,Used email or Internet to communicate with doctor,1.21,"0.69, 2.13"
Race/ethnicity,Non-Hispanic black,Used email or Internet to communicate with doctor,0.94,"0.49, 1.79"
Race/ethnicity,Other race,Used email or Internet to communicate with doctor,1.68,"0.91, 3.11"
Race/ethnicity,Non-Hispanic white (ref),Used email or Internet to communicate with doctor,1,"1.00, 1.00"
Home ownership,Rent or occupy without rent,Used email or Internet to communicate with doctor,1.04,"0.72, 1.51"
Home ownership,Own (ref),Used email or Internet to communicate with doctor,1,"1.00, 1.00"
Education,≤High school degree,Bought medicine or vitamins online,0.67,"0.34, 1.32"
Education,Some college,Bought medicine or vitamins online,0.99,"0.67, 1.46"
Education,>College degree (ref),Bought medicine or vitamins online,1,"1.00, 1.00"
Born in United States,No,Bought medicine or vitamins online,2.64,"1.37, 5.09"
Born in United States,Yes (ref),Bought medicine or vitamins online,1,"1.00, 1.00"
Race/ethnicity,Hispanic,Bought medicine or vitamins online,1.01,"0.49, 2.10"
Race/ethnicity,Non-Hispanic black,Bought medicine or vitamins online,1.39,"0.50, 3.91"
Race/ethnicity,Other race,Bought medicine or vitamins online,0.79,"0.43, 1.46"
Race/ethnicity,Non-Hispanic white (ref),Bought medicine or vitamins online,1,"1.00, 1.00"
Home ownership,Rent or occupy without rent,Bought medicine or vitamins online,0.81,"0.51, 1.28"
Home ownership,Own (ref),Bought medicine or vitamins online,1,"1.00, 1.00"
Education,≤High school degree,Tracked personal health information online,0.53,"0.32, 0.84"
Education,Some college,Tracked personal health information online,0.75,"0.50, 1.13"
Education,>College degree (ref),Tracked personal health information online,1,"1.00, 1.00"
Born in United States,No,Tracked personal health information online,1.19,"0.58, 2.46"
Born in United States,Yes (ref),Tracked personal health information online,1,"1.00, 1.00"
Race/ethnicity,Hispanic,Tracked personal health information online,1.04,"0.60, 1.81"
Race/ethnicity,Non-Hispanic black,Tracked personal health information online,1.23,"0.73, 2.06"
Race/ethnicity,Other race,Tracked personal health information online,1.82,"0.81, 4.07"
Race/ethnicity,Non-Hispanic white (ref),Tracked personal health information online,1,"1.00, 1.00"
Home ownership,Rent or occupy without rent,Tracked personal health information online,1.19,"0.86, 1.64"
Home ownership,Own (ref),Tracked personal health information online,1,"1.00, 1.00"
